
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-03 14:12:03 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:12:13 /api/plants/search ................................................................... ~ 0.17ms
  2026-04-03 14:12:28 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 14:12:29 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:12:37 /api/plots ......................................................................... ~ 512.90ms
  2026-04-03 14:12:37 /api/plots ......................................................................... ~ 509.53ms
  2026-04-03 14:12:38 /api/plots/1/plants/15 ............................................................. ~ 512.37ms
  2026-04-03 14:12:38 /api/plots/1/plants/15/conditions ........................................................ ~ 1s
  2026-04-03 14:12:38 /api/plots/1/rotations ............................................................. ~ 501.94ms
  2026-04-03 14:12:38 /api/plots/1/plant-zones ........................................................... ~ 509.38ms
  2026-04-03 14:12:39 /api/plots/1/plants/15 ................................................................... ~ 1s
  2026-04-03 14:12:39 /api/plots/1/plants/15/conditions .................................................. ~ 516.47ms
  2026-04-03 14:12:40 /api/plots/1/rotations ............................................................. ~ 499.33ms
  2026-04-03 14:12:40 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:15:22 / .................................................................................. ~ 516.53ms
  2026-04-03 14:16:27 /api/plots ......................................................................... ~ 502.47ms
  2026-04-03 14:16:27 /api/inventory ........................................................................... ~ 1s
  2026-04-03 14:16:28 /api/me .................................................................................. ~ 1s
  2026-04-03 14:16:28 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:16:29 /api/inventory ..................................................................... ~ 509.75ms
  2026-04-03 14:16:29 /api/me ............................................................................ ~ 497.01ms
  2026-04-03 14:16:33 /api/plots ......................................................................... ~ 502.11ms
  2026-04-03 14:16:34 /api/plots ......................................................................... ~ 506.44ms
  2026-04-03 14:16:35 /api/plots/1/plants ................................................................ ~ 514.93ms
  2026-04-03 14:16:35 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:16:35 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:16:36 /api/plots/1/rotations ............................................................. ~ 998.89ms
  2026-04-03 14:16:36 /api/plots/1/access ................................................................ ~ 500.04ms
  2026-04-03 14:16:36 /api/plots/1/plants ................................................................ ~ 510.60ms
  2026-04-03 14:16:37 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:16:37 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:16:38 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:16:38 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:16:47 /api/plants/search ................................................................. ~ 524.09ms
  2026-04-03 14:17:13 /api/plants/search ................................................................. ~ 503.40ms
  2026-04-03 14:17:17 /api/plots/1/plants ................................................................ ~ 503.21ms
  2026-04-03 14:17:38 /api/plots/1/plants ...................................................................... ~ 3s
  2026-04-03 14:17:41 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:17:49 /api/plots ......................................................................... ~ 503.60ms
  2026-04-03 14:17:49 /api/plots ......................................................................... ~ 508.98ms
  2026-04-03 14:17:50 /api/plots/1/plants/16 ............................................................. ~ 512.10ms
  2026-04-03 14:17:50 /api/plots/1/plants/16/conditions ........................................................ ~ 1s
  2026-04-03 14:17:50 /api/plots/1/rotations ............................................................. ~ 515.13ms
  2026-04-03 14:17:51 /api/plots/1/plant-zones ........................................................... ~ 505.21ms
  2026-04-03 14:17:51 /api/plots/1/plants/16 ................................................................... ~ 1s
  2026-04-03 14:17:51 /api/plots/1/plants/16/conditions .................................................. ~ 508.49ms
  2026-04-03 14:17:52 /api/plots/1/rotations ............................................................. ~ 513.03ms
  2026-04-03 14:17:52 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:40:03 /api/plots ......................................................................... ~ 496.00ms
  2026-04-03 14:40:04 /api/plots ......................................................................... ~ 508.13ms
  2026-04-03 14:40:06 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:40:07 /api/plots ........................................................................... ~ 0.06ms
  2026-04-03 14:40:07 /api/plots/1/plants ................................................................ ~ 506.78ms
  2026-04-03 14:40:07 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:40:08 /api/plots/1 ....................................................................... ~ 999.47ms
  2026-04-03 14:40:08 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:40:08 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:40:09 /api/plots/1/plants ................................................................ ~ 505.54ms
  2026-04-03 14:40:09 /api/plots/1/plant-zones ........................................................... ~ 504.44ms
  2026-04-03 14:40:10 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:40:10 /api/plots/1/rotations ............................................................. ~ 504.39ms
  2026-04-03 14:40:10 /api/plots/1/access ................................................................ ~ 509.88ms
  2026-04-03 14:40:44 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 14:40:54 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:40:57 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:41:03 /api/plants/search ................................................................. ~ 502.20ms
  2026-04-03 14:41:03 /api/plants/search ................................................................. ~ 512.23ms
  2026-04-03 14:41:04 /api/plants/search ................................................................. ~ 513.03ms
  2026-04-03 14:41:04 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 14:41:07 /api/plants/search ................................................................. ~ 500.67ms
  2026-04-03 14:43:29 /api/inventory ..................................................................... ~ 503.06ms
  2026-04-03 14:43:30 /api/inventory ....................................................................... ~ 0.05ms
  2026-04-03 14:43:34 /api/plots ......................................................................... ~ 516.76ms
  2026-04-03 14:43:34 /api/inventory ..................................................................... ~ 516.53ms
  2026-04-03 14:43:34 /api/plots ............................................................................... ~ 1s
  2026-04-03 14:43:35 /api/inventory ..................................................................... ~ 504.03ms
  2026-04-03 14:43:36 /api/plots ......................................................................... ~ 513.59ms
  2026-04-03 14:43:36 /api/plots ......................................................................... ~ 512.04ms
  2026-04-03 14:43:37 /api/plots/1 ....................................................................... ~ 497.65ms
  2026-04-03 14:43:37 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:43:37 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 14:43:38 /api/plots/1/rotations ............................................................. ~ 516.58ms
  2026-04-03 14:43:38 /api/plots/1/access ................................................................ ~ 498.65ms
  2026-04-03 14:43:38 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 14:43:39 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:43:39 /api/plots/1/plants ................................................................ ~ 504.08ms
  2026-04-03 14:43:39 /api/plots/1/rotations ............................................................. ~ 505.24ms
  2026-04-03 14:43:40 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 14:44:52 /api/plots ......................................................................... ~ 511.72ms
  2026-04-03 14:44:53 /api/plots ......................................................................... ~ 497.74ms
  2026-04-03 14:44:53 /api/plots/1/rotations ............................................................. ~ 511.79ms
  2026-04-03 14:44:53 /api/plots/1/plants/15/conditions .................................................. ~ 515.35ms
  2026-04-03 14:44:54 /api/plots/1/plants/15 ............................................................. ~ 497.44ms
  2026-04-03 14:44:54 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 14:44:55 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 14:44:55 /api/plots/1/plants/15/conditions .................................................. ~ 500.47ms
  2026-04-03 14:44:55 /api/plots/1/plants/15 ............................................................. ~ 506.15ms
  2026-04-03 14:44:56 /api/plots/1/plant-zones ................................................................. ~ 1s
